Id,Label,modularity_class,eigencentrality
0,transportasi,0,0.955238
1,ojek,6,0.524046
2,gojek,1,1
3,angkutan,4,0.4464
4,online,2,0.799491
5,memilih,0,0.350882
6,aman,3,0.426235
7,bebas,0,0.140635
8,berbasis,2,0.139962
9,taksi,2,0.225921
10,lapangan,12,0.085138
11,supir,4,0.084992
12,bantu,2,0.445228
13,nyaman,3,0.468927
14,jasa,0,0.184885
15,kemajuan,13,0.081774
16,menandatangani,1,0.246575
17,taxi,2,0.087061
18,ugal,6,0.048215
19,permenhub,13,0.010469
20,driver,1,0.213104
21,kota,4,0.317714
22,alat,0,0.08881
23,berhak,0,0.171451
24,moda,0,0.103407
25,butuh,4,0.350769
26,dukung,1,0.21267
27,hak,0,0.226581
28,keberadaan,1,0.253397
29,masyarakat,2,0.768707
30,setuju,1,0.416827
31,mata,30,0.005759
32,kebebasan,0,0.068497
33,layanan,0,0.281406
34,pengguna,0,0.258288
35,perkembangan,13,0.020038
36,sarana,0,0.079255
37,jawa,5,0.064712
38,kebutuhan,2,0.161613
39,membutuhkan,1,0.255868
40,pakai,6,0.163464
41,pm,13,0.010469
42,terbantu,1,0.328599
43,warga,0,0.27609
44,angkot,6,0.496699
45,indonesia,13,0.152334
46,kendaraan,2,0.219518
47,tolak,13,0.13324
48,beli,12,0.055771
49,bersaing,7,0.001745
50,cepat,3,0.234099
51,harga,3,0.189707
52,jalan,4,0.153334
53,kenyamanan,3,0.103376
54,mengikuti,13,0.011385
55,murah,3,0.3153
56,negara,13,0.009216
57,purwokerto,1,0.212053
58,angka,30,0.003496
59,dibutuhkan,2,0.157757
60,kehadiran,1,0.108248
61,membuka,12,0.006876
62,mencari,12,0.089616
63,merugikan,13,0.083981
64,solo,4,0.275575
65,undang,8,0
66,anak,9,0.008948
67,aplikasi,2,0.119873
68,bidang,0,0.068344
69,efektif,3,0.00989
70,efisien,3,0.160534
71,industri,7,0.00126
72,karna,2,0.119966
73,karya,9,0.063427
74,keamanan,3,0.006923
75,kemudahan,1,0.218667
76,konsumen,0,0.115159
77,masuk,10,0.004112
78,melarang,0,0.132969
79,mempermudah,2,0.20835
80,memudahkan,1,0.276538
81,mengurangi,30,0.004161
82,mobil,2,0.012032
83,mode,0,0.079821
84,ngetem,6,0.04054
85,oknum,4,0.006725
86,pangkalan,6,0.031543
87,pencabutan,1,0.061687
88,pesan,12,0.054836
89,pilihan,0,0.059033
90,pro,13,0.00544
91,rakyat,13,0.076771
92,rezeki,11,0.04821
93,semoga,10,0.09364
94,sesuai,3,0.093161
95,solusi,12,0.176368
96,suka,6,0.038167
97,surakarta,4,0.040694
98,tangani,1,0.012717
99,tasikmalaya,4,0.234741
100,teknologi,13,0.154679
101,terima,25,0.004483
102,transport,0,0.055913
103,asasi,0,0.014844
104,bandung,0,0.109156
105,bawa,2,0.013557
106,bus,6,0.032728
107,dibanding,4,0.03412
108,era,13,0.003413
109,fasilitas,1,0.083404
110,grab,1,0.062631
111,hadirnya,1,0.061687
112,kehidupan,2,0.078238
113,kepentingan,13,0.00544
114,konvensional,4,0.314789
115,mahkamah,14,7.64e-4
116,maju,13,0.136289
117,manfaat,2,0.169081
118,melayani,2,0.046781
119,memenuhi,2,0.010811
120,memiliki,0,0.029158
121,menambah,30,0.009647
122,mengambil,27,0.001078
123,mengeluarkan,10,0.003922
124,menurunkan,13,0.006133
125,mobilitas,2,0.073762
126,modern,13,0.044104
127,mudah,3,0.328779
128,nafkah,12,0.010513
129,orang,11,0.209492
130,pemberi,0,0.011387
131,pemerintah,10,0.204322
132,pencaharian,30,0.048028
133,penuh,1,0.074866
134,penumpang,13,0.077989
135,penyedia,0,0.011387
136,perbaiki,0,0.004065
137,perekonomian,2,0.093305
138,permen,13,0.001717
139,petisi,1,0.177283
140,praktis,3,0.178378
141,public,2,0.003767
142,salah,0,0.141232
143,salam,15,7.64e-4
144,save,1,0.061687
145,sisi,3,0.054632
146,smart,0,0.007772
147,stasiun,2,9.59e-4
148,suara,2,0.047678
149,tanda,1,0.001606
150,tarif,3,0.088794
151,tasik,4,0.154206
152,tawar,3,0.001494
153,tolong,6,0.036196
154,tranportasi,2,0.071006
155,tukang,6,0.062423
156,aktifitas,2,0.017247
157,alasan,6,0.03088
158,allah,11,0.005654
159,aplikator,10,0.003788
160,aspirasi,2,0.046781
161,aturan,10,0.015517
162,bebaskan,0,0.021716
163,becak,16,7.64e-4
164,benahi,6,0.03088
165,berbadan,13,0.001392
166,berguna,1,0.108468
167,berkembang,13,0.045347
168,bermanfaat,1,0.158979
169,beroperasi,1,0.061687
170,berterima,25,0.004483
171,biaya,9,0.001147
172,bicara,13,0.00544
173,bupati,17,0.001557
174,butir,1,0.004327
175,caci,18,7.64e-4
176,calon,19,7.64e-4
177,cari,12,0.038219
178,cepet,3,0.019798
179,cetek,20,7.64e-4
180,choose,2,0.049289
181,daerah,10,0.040596
182,daftar,2,0.013922
183,dengar,2,0.003429
184,dianggap,21,7.64e-4
185,dilarang,2,0.060541
186,dilindas,13,0.003037
187,dimana,6,0.077661
188,dipikirkan,6,0.064597
189,ditinggalkan,22,7.64e-4
190,drivernya,3,0.00655
191,gaada,6,0.03088
192,gocar,1,0.02748
193,halal,6,0.007038
194,hapus,6,0.034266
195,harap,17,9.13e-4
196,hidup,1,0.109546
197,hukum,13,0.010566
198,ill,23,7.64e-4
199,inovasi,7,0.062947
200,inovasigojek,24,0
201,inovatif,7,0.00219
202,jalur,4,0.026877
203,jaman,13,0.074372
204,jemput,10,0.004943
205,join,1,0.061687
206,kadang,6,0.057757
207,kasih,25,0.063605
208,kelakuan,4,0.0012
209,keputusan,27,0.002532
210,kerja,12,0.145194
211,keseharian,2,0.026981
212,kreatif,7,0.006126
213,kualitas,0,0.059033
214,kuliah,1,0.012963
215,line,0,0.090912
216,macet,6,0.003487
217,main,4,0.001995
218,makan,12,0.079123
219,memaksa,0,0.007518
220,memaksakan,26,7.64e-4
221,membahayakan,0,0.015698
222,membatasi,0,0.004065
223,memutus,11,0.004457
224,menaikan,13,0.001154
225,menanda,1,0.001606
226,menawar,3,0.012604
227,menciptakan,12,0.006082
228,mendatangani,1,0.01108
229,menerima,13,0.012253
230,menghalangi,13,0.006007
231,menghidupi,12,9.65e-4
232,menteri,27,0.001859
233,menutup,28,7.64e-4
234,menyetujui,4,0.026877
235,menyulitkan,2,0.046781
236,merubah,31,9.13e-4
237,mobilnya,4,0.005933
238,modal,10,0.001957
239,mohon,29,7.64e-4
240,mundur,13,0.009216
241,nasib,1,0.013448
242,nunggu,6,0.03088
243,ojeg,2,0.005827
244,ojol,6,0.044053
245,onehundredandeight,13,0.010346
246,peduli,13,0.006007
247,pekerjaan,12,0.069848
248,pelanggan,1,0.002394
249,pelayanan,3,0.103885
250,pengambil,27,0.001078
251,pengangguran,30,0.023261
252,pengemudi,1,0.061687
253,pengganti,12,0.02292
254,penumpangnya,0,0.015698
255,perasaan,3,0.025483
256,perubahan,13,0.035005
257,pilih,3,0.112866
258,platform,2,0.049289
259,pola,31,0.001557
260,pt,32,7.64e-4
261,publik,0,0.102868
262,pulang,0,0.004065
263,pwt,1,0.016807
264,ramah,3,0.098842
265,rejeki,6,0.0328
266,relatif,3,0.019074
267,ribuan,11,0.01343
268,ridwan,33,7.64e-4
269,sapi,34,7.64e-4
270,sedia,10,0.077364
271,segi,3,0.011799
272,sejenisnya,1,0.088668
273,sekolah,9,0.003338
274,semangat,1,0.061687
275,simple,3,0.077902
276,sopan,35,7.64e-4
277,startup,13,0.009766
278,terburu,36,7.64e-4
279,terjangkau,3,0.111124
280,terminal,2,0.002397
281,tinggal,10,0.068004
282,town,1,0.061687
283,trans,2,0.049289
284,transportation,2,0.051136
285,transpotasi,3,0.019074
286,tutup,2,0.107393
287,twenty,37,7.64e-4
288,uang,6,0.011213
289,usaha,9,0.00174
290,zaman,13,0.031044
291,ugalan,6,0.0038
292,barat,5,0.00444
293,pribadi,2,0.015027
294,sehat,7,0.00093000000000000005
295,raya,4,0.026677
296,diberhentikan,2,0.049289
297,bangsa,9,0.00174
298,istri,9,0.00174
299,dihapuskan,1,0.061687
300,akal,10,0.001062
301,aktivitas,1,0.016807
302,sembarangan,6,0.003487
303,diatur,11,0.004457
304,ngatur,11,0.004457
305,bandara,2,0.014881
306,manusia,0,0.00161
307,bst,6,0.01946
308,dicabut,1,0.062631
309,merasakan,1,0.061687
310,uber,1,0.061687
311,bike,1,0.004327
312,agung,14,7.64e-4
313,keluarga,12,0.002316
314,tua,11,0.01343
315,atur,11,0.005654
316,mengatur,11,0.017636
317,tertukar,11,0.004457
318,satunya,0,0.008989
319,aspal,15,7.64e-4
320,positif,3,0.003912
321,city,0,0.001231
322,apapun,0,0.058104
323,sehari,2,0.064978
324,damai,3,0.025483
325,muda,9,0.00174
326,bis,6,0.03088
327,identitas,6,0.03088
328,supirnya,6,0.03088
329,layak,12,0.031892
330,mengacu,10,0.001162
331,kegiatan,2,0.026981
332,mahasiswa,2,0.026981
333,diterapkan,16,7.64e-4
334,keperluan,12,0.004021
335,daring,2,0.008896
336,pesat,13,0.00363
337,menolong,1,0.00984
338,mempertimbangkan,17,9.13e-4
339,gojeg,4,0.021151
340,maki,18,7.64e-4
341,mitra,19,7.64e-4
342,muatan,12,0.003492
343,legitimate,20,7.64e-4
344,banyumas,10,0.067085
345,illegal,21,7.64e-4
346,penggunanya,22,7.64e-4
347,penghapusan,1,0.013178
348,disolo,1,0.061687
349,grabtaxi,1,0.061687
350,hadir,1,0.061687
351,langsung,1,0.061687
352,satria,1,0.061687
353,dunia,1,0.006992
354,mannered,23,7.64e-4
355,bertransportasi,1,0.013317
356,kemurahan,1,0.013317
357,keselamatan,3,0.006923
358,terikat,12,0.009472
359,raja,0,0.007518
360,juara,4,0.019543
361,hakim,4,9.41e-4
362,tembak,4,0.006874
363,hati,30,0.001247
364,kehendak,26,7.64e-4
365,peluang,12,0.001214
366,syarat,2,0.001383
367,terbaik,0,0.021716
368,hp,0,0.002452
369,mobilisasi,1,0.016807
370,kemacetan,30,0.001179
371,jonan,27,9.43e-4
372,pintu,28,7.64e-4
373,mandiri,10,9.48e-4
374,cabut,29,7.64e-4
375,berpergian,3,0.019798
376,diakses,3,0.019798
377,pain,6,0.003487
378,lokal,6,0.031543
379,mangkal,6,0.031543
380,onlinenya,6,0.031543
381,taxol,6,0.003385
382,berat,13,0.001717
383,ajh,2,0.049289
384,berharap,2,0.049289
385,keberatan,2,0.049289
386,kehilangan,2,0.049289
387,kustomer,2,0.049289
388,offline,0,0.107393
389,peraturan,2,0.049289
390,sediakan,2,0.049289
391,terbukti,2,0.049289
392,kaya,11,0.01343
393,bagus,3,0.007132
394,buruk,3,0.007132
395,memuaskan,3,0.007132
396,berhadapan,10,0.013178
397,sanggup,10,0.013178
398,pikir,31,9.13e-4
399,koperasi,32,7.64e-4
400,malam,0,0.059033
401,kejadian,3,0.00655
402,kamil,33,7.64e-4
403,perah,34,7.64e-4
404,pergi,9,0.001147
405,pinggir,4,0.016831
406,bijak,12,0.011252
407,real,12,0.011252
408,santun,35,7.64e-4
409,antri,2,0.013922
410,menghambat,13,0.01024
411,buru,36,7.64e-4
412,klik,10,0.004943
413,pencet,10,0.004943
414,keras,13,0.008752
415,pikirkan,6,0.002909
416,diandalkan,0,0.058104
417,memadai,0,0.058104
418,ol,0,0.058104
419,front,2,0.003767
420,menit,37,7.64e-4
421,cash,6,0.001424
422,jabar,0,0.016979
